Date,Open,High,Low,Close,Adj Close,Volume
2015-12-31,149000.0,149000.0,137500.0,137500.0,105128.15625,2331421.0
2016-01-07,134500.0,143500.0,133500.0,141000.0,107804.15625,2821121.0
2016-01-14,141000.0,142000.0,135500.0,137000.0,104745.8984375,2302378.0
2016-01-21,138000.0,140500.0,134500.0,135000.0,103216.75,2843030.0
2016-01-28,135000.0,136000.0,126500.0,132500.0,101305.34375,3524339.0
2016-02-04,132000.0,133500.0,130500.0,131000.0,100158.4609375,1202023.0
2016-02-11,131500.0,149000.0,131000.0,147000.0,112391.5625,3910675.0
2016-02-18,147000.0,153000.0,145500.0,147000.0,112391.5625,1682840.0
2016-02-25,148000.0,151500.0,144500.0,147500.0,112773.8515625,2089156.0
2016-03-03,146000.0,150000.0,143500.0,148000.0,113156.1328125,2523241.0
2016-03-10,147500.0,150500.0,145500.0,146500.0,112009.28125,1777843.0
2016-03-17,148000.0,159500.0,147500.0,155500.0,118890.4140625,3188109.0
2016-03-24,154500.0,159000.0,151500.0,152500.0,116596.6796875,1644587.0
2016-03-31,152500.0,152500.0,143500.0,146500.0,112009.28125,2410682.0
2016-04-07,146000.0,152000.0,144000.0,152000.0,116214.4140625,1395033.0
2016-04-14,150500.0,155000.0,149000.0,154000.0,117743.546875,1582344.0
2016-04-21,152000.0,154000.0,147000.0,148000.0,113156.1328125,1798802.0
2016-04-28,146500.0,147500.0,138500.0,139000.0,106275.015625,2147642.0
2016-05-05,139000.0,142000.0,135500.0,136500.0,104363.59375,1534696.0
2016-05-12,136000.0,137500.0,132000.0,134500.0,102834.46875,2262103.0
2016-05-19,134000.0,137000.0,131500.0,135000.0,103216.75,1971178.0
2016-05-26,136000.0,139500.0,135000.0,138000.0,105510.453125,3482094.0
2016-06-02,138000.0,141500.0,137500.0,139000.0,106275.015625,2138063.0
2016-06-09,138500.0,140000.0,133500.0,134500.0,102834.46875,2067391.0
2016-06-16,136000.0,141500.0,133500.0,141000.0,107804.15625,1675108.0
2016-06-23,140500.0,144000.0,134500.0,135500.0,103599.0234375,5640150.0
2016-06-30,136500.0,139500.0,129000.0,131000.0,100884.2421875,2746300.0
2016-07-07,131000.0,135500.0,129000.0,131500.0,101269.3203125,2524826.0
2016-07-14,132000.0,134000.0,128500.0,130000.0,100114.140625,2629825.0
2016-07-21,130000.0,139500.0,129000.0,136000.0,104734.8125,3574789.0
2016-07-28,135000.0,136000.0,129500.0,130500.0,100499.1875,2538580.0
2016-08-04,130500.0,137000.0,130500.0,134500.0,103579.640625,2226054.0
2016-08-11,135000.0,137000.0,132000.0,132500.0,102039.4375,1963666.0
2016-08-18,133000.0,138000.0,131000.0,136500.0,105119.8515625,2802785.0
2016-08-25,136500.0,137000.0,131000.0,131500.0,101269.3203125,2280273.0
2016-09-01,132500.0,140500.0,132000.0,139000.0,107045.125,3386822.0
2016-09-08,138000.0,140500.0,137500.0,138500.0,106660.0703125,1439182.0
2016-09-15,138500.0,139500.0,136000.0,138000.0,106275.015625,1878875.0
2016-09-22,139500.0,142000.0,138000.0,139500.0,107430.15625,2479503.0
2016-09-29,138500.0,141000.0,135000.0,139000.0,107045.125,2146708.0
2016-10-06,138500.0,139000.0,131000.0,134000.0,103194.59375,2354989.0
2016-10-13,133500.0,136500.0,131500.0,132000.0,101654.3671875,2181621.0
2016-10-20,132500.0,139500.0,132000.0,138000.0,106275.015625,2550904.0
2016-10-27,138000.0,141500.0,136000.0,136500.0,105119.8515625,2717113.0
2016-11-03,136500.0,140000.0,129000.0,129000.0,99344.03125,3383463.0
2016-11-10,130000.0,134000.0,129500.0,132000.0,101654.3671875,1954465.0
2016-11-17,131500.0,136000.0,129500.0,135000.0,103964.6953125,1675546.0
2016-11-24,135500.0,136000.0,132000.0,132000.0,101654.3671875,2415719.0
2016-12-01,134000.0,142000.0,133000.0,142000.0,109355.4609375,2191324.0
2016-12-08,142000.0,148000.0,141000.0,142000.0,109355.4609375,1856549.0
2016-12-15,141000.0,144500.0,139000.0,142000.0,109355.4609375,1861672.0
2016-12-22,143000.0,146000.0,141500.0,146000.0,112435.8984375,1659785.0
2016-12-29,146000.0,155000.0,145500.0,153500.0,120717.9609375,2262530.0
2017-01-05,152000.0,153000.0,147500.0,148000.0,116392.5625,2212410.0
2017-01-12,149000.0,155500.0,148500.0,152000.0,119538.3125,1747485.0
2017-01-19,150500.0,153500.0,139500.0,142500.0,112067.1484375,2634328.0
2017-01-26,142500.0,142500.0,135500.0,136000.0,106955.328125,1631493.0
2017-02-02,136500.0,141000.0,136000.0,140000.0,110101.0625,2071407.0
2017-02-09,141000.0,151500.0,139000.0,150500.0,118358.6484375,2619851.0
2017-02-16,149500.0,151500.0,145000.0,146000.0,114819.6875,2263309.0
2017-02-23,147000.0,150500.0,146500.0,148500.0,116785.765625,1569224.0
2017-03-02,147000.0,148000.0,140000.0,145000.0,114033.25,2650566.0
2017-03-09,145000.0,152500.0,143500.0,151500.0,119145.109375,2095288.0
2017-03-16,152500.0,171000.0,150000.0,165000.0,129762.015625,5120576.0
2017-03-23,164000.0,167000.0,155500.0,158500.0,124650.140625,2840560.0
2017-03-30,159500.0,160500.0,147000.0,148000.0,116392.5625,3062277.0
2017-04-06,148000.0,149500.0,141000.0,142500.0,112067.1484375,2652694.0
2017-04-13,141500.0,144500.0,136500.0,141500.0,111280.7421875,2968760.0
2017-04-20,142000.0,152000.0,139500.0,147000.0,115606.125,3701284.0
2017-04-27,144000.0,153000.0,142500.0,152000.0,119538.3125,2129053.0
2017-05-04,152000.0,160500.0,150500.0,157500.0,123863.71875,2341131.0
2017-05-11,156000.0,166500.0,152000.0,165000.0,129762.015625,2965581.0
2017-05-18,167000.0,173000.0,160000.0,165000.0,129762.015625,4722360.0
2017-05-25,165500.0,166500.0,161000.0,165500.0,130155.203125,2293895.0
2017-06-01,164500.0,165500.0,157000.0,160000.0,125829.8046875,2236755.0
2017-06-08,160000.0,170000.0,158000.0,163000.0,128189.09375,2590232.0
2017-06-15,163500.0,169000.0,160000.0,161500.0,127009.4375,1978514.0
2017-06-22,162000.0,166000.0,159000.0,161000.0,126616.2265625,1700311.0
2017-06-29,159500.0,164000.0,155000.0,155500.0,123059.96875,2091895.0
2017-07-06,153500.0,154500.0,146500.0,149000.0,117915.984375,3457020.0
2017-07-13,150000.0,154500.0,145000.0,148000.0,117124.6015625,2773263.0
2017-07-20,148000.0,150000.0,144500.0,146500.0,115937.515625,3183483.0
2017-07-27,146500.0,150000.0,144500.0,148500.0,117520.28125,3250428.0
2017-08-03,148000.0,151000.0,143500.0,145000.0,114750.4375,2423643.0
2017-08-10,143500.0,146000.0,141000.0,144000.0,113959.0625,1595496.0
2017-08-17,144000.0,150000.0,143500.0,143500.0,113563.3828125,1967750.0
2017-08-24,143500.0,146000.0,138500.0,140500.0,111189.2265625,2612014.0
2017-08-31,141000.0,143500.0,133500.0,138000.0,109210.765625,2639634.0
2017-09-07,138000.0,138500.0,133000.0,137000.0,108419.3828125,2998796.0
2017-09-14,135500.0,143000.0,134000.0,141500.0,111980.625,2499897.0
2017-09-21,141000.0,149000.0,140000.0,147000.0,116333.21875,1905635.0
2017-09-28,148500.0,151000.0,147500.0,150500.0,119103.046875,808779.0
2017-10-05,150500.0,156500.0,147500.0,156500.0,123851.3359375,2456363.0
2017-10-12,155000.0,155500.0,147000.0,151500.0,119894.4453125,2846068.0
2017-10-19,151500.0,160000.0,146500.0,159500.0,126225.484375,3353158.0
2017-10-26,159500.0,162000.0,154500.0,160000.0,126621.1875,3176958.0
2017-11-02,161000.0,164000.0,153000.0,155500.0,123059.96875,2640038.0
2017-11-09,154000.0,163000.0,153500.0,159500.0,126225.484375,2452416.0
2017-11-16,158000.0,159000.0,154000.0,157000.0,124247.0234375,1791924.0
2017-11-23,156000.0,166500.0,155000.0,164500.0,130182.421875,3041729.0
2017-11-30,164500.0,165500.0,157500.0,161500.0,127808.2421875,1992951.0
2017-12-07,159500.0,161000.0,148000.0,150500.0,119103.046875,3690753.0
2017-12-14,151500.0,155500.0,150000.0,150000.0,118707.3515625,1413998.0
2017-12-21,151000.0,157000.0,150000.0,156000.0,123455.625,1427834.0
2017-12-28,156000.0,156000.0,146000.0,146500.0,118240.8984375,2114195.0
2018-01-04,146000.0,158000.0,145500.0,155000.0,125101.3359375,2682729.0
2018-01-11,153500.0,159000.0,151000.0,155000.0,125101.3359375,1868592.0
2018-01-18,155000.0,167500.0,154000.0,158500.0,127926.15625,3377348.0
2018-01-25,155000.0,162000.0,149000.0,160500.0,129540.3828125,3426095.0
2018-02-01,161000.0,164000.0,153500.0,161000.0,129943.9296875,3610333.0
2018-02-08,156500.0,158500.0,152000.0,154500.0,124697.7578125,2070406.0
2018-02-15,154500.0,161000.0,152500.0,157000.0,126715.5,1360621.0
2018-02-22,158500.0,163000.0,157500.0,161500.0,130347.4921875,1559573.0
2018-03-01,158000.0,159000.0,152000.0,154500.0,124697.7578125,2464562.0
2018-03-08,153500.0,159000.0,152000.0,157500.0,127119.0546875,2234618.0
2018-03-15,158000.0,159500.0,150000.0,152500.0,123083.5390625,2019901.0
2018-03-22,151000.0,155000.0,142500.0,143500.0,115819.6171875,4166623.0
2018-03-29,144000.0,159500.0,142500.0,154000.0,124294.203125,4956269.0
2018-04-05,155000.0,155500.0,149000.0,152000.0,122679.984375,1694978.0
2018-04-12,151500.0,159500.0,149500.0,158000.0,127522.640625,2251311.0
2018-04-19,157000.0,165500.0,154500.0,156500.0,126311.96875,2604743.0
2018-04-26,155000.0,163000.0,154000.0,160000.0,129136.828125,1941219.0
2018-05-03,158000.0,161000.0,150500.0,152000.0,122679.984375,2305791.0
2018-05-10,152000.0,154500.0,146000.0,149500.0,120662.25,2267699.0
2018-05-17,148500.0,151000.0,139000.0,140000.0,112994.734375,3112936.0
2018-05-24,139500.0,141000.0,136000.0,139000.0,112187.6328125,3151654.0
2018-05-31,138500.0,144000.0,137500.0,142500.0,115012.5,2184975.0
2018-06-07,142000.0,142500.0,135000.0,135000.0,108959.203125,2503311.0
2018-06-14,136000.0,136500.0,127000.0,127000.0,102502.3671875,3245379.0
2018-06-21,126000.0,131000.0,123000.0,125000.0,100888.15625,4020946.0
2018-06-28,124500.0,126000.0,118000.0,121500.0,98838.5,2837414.0
2018-07-05,122500.0,126000.0,120500.0,123000.0,100058.71875,2287245.0
2018-07-12,123500.0,129000.0,122000.0,124000.0,100872.1953125,1921866.0
2018-07-19,124500.0,131500.0,122500.0,130000.0,105753.1015625,2393078.0
2018-07-26,129500.0,131500.0,124000.0,125500.0,102092.421875,1521445.0
2018-08-02,124000.0,129500.0,123500.0,126000.0,102499.1640625,2419409.0
2018-08-09,126000.0,127000.0,122000.0,126500.0,102905.9140625,1366933.0
2018-08-16,125500.0,128000.0,123000.0,124500.0,101278.9453125,1417362.0
2018-08-23,123500.0,127000.0,123000.0,123500.0,100465.453125,1557549.0
2018-08-30,124000.0,136000.0,123000.0,134000.0,109007.0625,2897495.0
2018-09-06,136000.0,137000.0,128000.0,128500.0,104532.890625,2379610.0
2018-09-13,129500.0,131000.0,125500.0,129000.0,104939.6171875,1732675.0
2018-09-20,131000.0,131000.0,127500.0,130500.0,106159.84375,1231295.0
2018-09-27,130000.0,130500.0,122500.0,124500.0,101278.9453125,1415966.0
2018-10-04,126000.0,126000.0,116000.0,116000.0,94364.3203125,1909232.0
2018-10-11,115500.0,119500.0,111500.0,116000.0,94364.3203125,2966818.0
2018-10-18,114500.0,118500.0,102500.0,110000.0,89483.40625,3856676.0
2018-10-25,110000.0,113000.0,103500.0,108500.0,88263.1796875,3413287.0
2018-11-01,107000.0,110500.0,103500.0,105500.0,85822.734375,3491608.0
2018-11-08,106000.0,110000.0,99600.0,103000.0,83789.0234375,2944198.0
2018-11-15,104000.0,104500.0,92500.0,92800.0,75491.453125,4622490.0
2018-11-22,92800.0,103000.0,92600.0,100000.0,81348.5625,4071612.0
2018-11-29,103000.0,112500.0,102500.0,110500.0,89890.1484375,5768407.0
2018-12-06,110000.0,121500.0,108500.0,118500.0,96398.046875,3958364.0
2018-12-13,119000.0,124500.0,112500.0,121500.0,98838.5,3550478.0
2018-12-20,120500.0,124000.0,117500.0,118500.0,96398.046875,1954538.0
2018-12-27,118500.0,120000.0,113000.0,116500.0,97201.0703125,1572146.0
2019-01-03,116000.0,124000.0,116000.0,123000.0,102624.328125,3832740.0
2019-01-10,123000.0,130000.0,120500.0,129500.0,108047.5625,2477299.0
2019-01-17,129500.0,132000.0,124500.0,130000.0,108464.7265625,2860677.0
2019-01-24,127500.0,131000.0,125500.0,129500.0,108047.5625,2495621.0
2019-01-31,129500.0,130000.0,125500.0,126000.0,105127.359375,922920.0
2019-02-07,125500.0,129000.0,119500.0,121500.0,101372.8203125,2927416.0
2019-02-14,121000.0,122000.0,118500.0,120000.0,100121.28125,2798603.0
2019-02-21,119500.0,130000.0,119500.0,126500.0,105544.53125,3629117.0
2019-02-28,126500.0,129000.0,119500.0,125500.0,104710.1796875,2756925.0
2019-03-07,125000.0,126000.0,117000.0,119000.0,99286.953125,3495176.0
2019-03-14,119000.0,126000.0,118000.0,124500.0,103875.84375,2202860.0
2019-03-21,124000.0,125500.0,118000.0,119500.0,99704.1171875,1949975.0
2019-03-28,120000.0,125000.0,117500.0,123500.0,103041.5,2287727.0
2019-04-04,124500.0,128500.0,124000.0,128000.0,106796.046875,2142905.0
2019-04-11,127000.0,137000.0,125000.0,134000.0,111802.109375,3322318.0
2019-04-18,135000.0,140000.0,132000.0,138000.0,115139.4765625,3039997.0
2019-04-25,138000.0,140500.0,134500.0,138500.0,115556.6484375,2470901.0
2019-05-02,137500.0,138500.0,131000.0,131000.0,109299.078125,2211018.0
2019-05-09,131500.0,135000.0,125500.0,127500.0,106378.875,2871705.0
2019-05-16,127000.0,129500.0,125000.0,127500.0,106378.875,2875213.0
2019-05-23,127000.0,136500.0,126000.0,135500.0,113053.6328125,3709112.0
2019-05-30,134500.0,142000.0,131000.0,141000.0,117642.5078125,2771127.0
2019-06-06,141500.0,143500.0,137500.0,141000.0,117642.5078125,2806534.0
2019-06-13,140000.0,142500.0,139000.0,140500.0,117225.34375,1354647.0
2019-06-20,140000.0,143500.0,139500.0,140500.0,117225.34375,1456959.0
2019-06-27,140000.0,142500.0,134000.0,139000.0,116799.28125,1936011.0
2019-07-04,139000.0,142000.0,135000.0,139000.0,116799.28125,2750368.0
2019-07-11,138500.0,142000.0,132000.0,134000.0,112597.8671875,2463768.0
2019-07-18,135500.0,135500.0,128500.0,131500.0,110497.140625,3133024.0
2019-07-25,130500.0,132500.0,125000.0,125500.0,105455.453125,2137296.0
2019-08-01,126000.0,132500.0,123000.0,130000.0,109236.7109375,4173761.0
2019-08-08,131500.0,132500.0,127000.0,127500.0,107136.0234375,1820318.0
2019-08-15,126500.0,129500.0,124000.0,124000.0,104195.0234375,2087025.0
2019-08-22,123000.0,130500.0,123000.0,126500.0,106295.734375,2851901.0
2019-08-29,127500.0,132000.0,127000.0,128000.0,107556.1640625,2299611.0
2019-09-05,128000.0,129000.0,126000.0,129000.0,108396.4296875,1974344.0
2019-09-12,129000.0,129500.0,125500.0,129000.0,108396.4296875,2544392.0
2019-09-19,128500.0,136500.0,128000.0,133000.0,111757.5859375,3242544.0
2019-09-26,134000.0,135500.0,128000.0,128500.0,107976.3125,1615057.0
2019-10-03,129500.0,130500.0,125500.0,126500.0,106295.734375,1910450.0
2019-10-10,127000.0,127500.0,120500.0,123000.0,103354.734375,3245022.0
2019-10-17,123500.0,124500.0,120000.0,122000.0,102514.46875,2481203.0
2019-10-24,122000.0,125000.0,121500.0,122000.0,102514.46875,3187239.0
2019-10-31,121500.0,126000.0,121000.0,123500.0,103774.890625,2954183.0
2019-11-07,124000.0,126000.0,123500.0,124500.0,104615.1640625,2373395.0
2019-11-14,124500.0,126000.0,123000.0,124500.0,104615.1640625,2920908.0
2019-11-21,124000.0,125500.0,122500.0,124000.0,104195.0234375,4642044.0
2019-11-28,123500.0,124500.0,117500.0,118000.0,99153.3359375,5788200.0
2019-12-05,118500.0,120500.0,118000.0,120000.0,100833.8984375,9408723.0
2019-12-12,121500.0,123500.0,119000.0,123500.0,103774.890625,6018527.0
2019-12-19,124000.0,125000.0,121500.0,122500.0,102934.609375,3618000.0
2019-12-26,121000.0,121500.0,118000.0,118000.0,99153.3359375,1446891.0
2020-01-02,118500.0,119000.0,110000.0,111500.0,96043.5859375,4574292.0
2020-01-09,112500.0,120000.0,112000.0,118500.0,102073.2265625,4532244.0
2020-01-16,118500.0,131500.0,116500.0,130500.0,112409.765625,6831585.0
2020-01-23,130500.0,133000.0,126500.0,127500.0,109825.625,4194991.0
2020-01-30,128500.0,133000.0,121000.0,132000.0,113701.828125,6201601.0
2020-02-06,130500.0,137500.0,127500.0,133000.0,114563.2109375,5026983.0
2020-02-13,132500.0,136000.0,129000.0,130000.0,111979.0703125,3379164.0
2020-02-20,128000.0,129500.0,120000.0,121000.0,104226.6796875,4175761.0
2020-02-27,118500.0,119000.0,112000.0,114000.0,98197.0234375,6830818.0
2020-03-05,113000.0,113500.0,99700.0,100000.0,86137.75,6243975.0
2020-03-12,86500.0,90200.0,65100.0,65900.0,56764.7734375,15819634.0
2020-03-19,67500.0,90200.0,65000.0,84900.0,73130.9453125,16989262.0
2020-03-26,89700.0,90100.0,82100.0,86600.0,74595.28125,10022932.0
2020-04-02,86600.0,97900.0,85600.0,97100.0,83639.75,11033502.0
2020-04-09,97400.0,101500.0,96200.0,99100.0,85362.5078125,7070462.0
2020-04-16,101000.0,103500.0,89400.0,92400.0,79591.2734375,13576381.0
2020-04-23,91300.0,94400.0,90100.0,93600.0,80624.9296875,5997141.0
2020-04-30,93600.0,94200.0,90700.0,92600.0,79763.5390625,3130217.0
2020-05-07,93000.0,96500.0,90500.0,92300.0,79505.140625,6848333.0
2020-05-14,92000.0,99400.0,91000.0,97200.0,83725.890625,9428131.0
2020-05-21,97100.0,99600.0,94000.0,97200.0,83725.890625,8034591.0
2020-05-28,96300.0,113000.0,96300.0,108500.0,93459.4609375,12016083.0
2020-06-04,108000.0,115000.0,106500.0,108500.0,93459.4609375,9027546.0
2020-06-11,101500.0,105000.0,97000.0,100000.0,86137.75,7872198.0
2020-06-18,101000.0,103500.0,98000.0,99400.0,85620.9296875,5819083.0
2020-06-25,100500.0,101000.0,97600.0,99000.0,85276.359375,3974075.0
2020-07-02,99900.0,103500.0,98600.0,99600.0,85793.1953125,4920913.0
2020-07-09,99400.0,113000.0,98000.0,110000.0,94751.5234375,11275123.0
2020-07-16,109500.0,125500.0,109500.0,124500.0,107241.4921875,18766156.0
2020-07-23,123500.0,130500.0,120000.0,127500.0,109825.625,12346002.0
2020-07-30,128000.0,146000.0,123500.0,144500.0,124469.03125,11973419.0
2020-08-06,145500.0,180500.0,144500.0,170000.0,146434.1875,27319853.0
2020-08-13,171000.0,172000.0,154000.0,155000.0,133513.5,15726960.0
2020-08-20,158000.0,171000.0,152500.0,163500.0,140835.234375,14622540.0
2020-08-27,165500.0,182000.0,164500.0,176500.0,152033.140625,18218381.0
2020-09-03,167500.0,174000.0,165500.0,169000.0,145572.828125,9348422.0
2020-09-10,167500.0,191500.0,167500.0,184000.0,158493.46875,15113462.0
2020-09-17,184000.0,188500.0,170000.0,171500.0,147726.21875,15083587.0
2020-09-24,172500.0,180000.0,166000.0,178500.0,153755.875,4927107.0
2020-10-01,178500.0,188500.0,178500.0,180500.0,155478.640625,8138888.0
2020-10-08,180500.0,183500.0,175000.0,176000.0,151602.4375,6901388.0
2020-10-15,176500.0,177500.0,156500.0,162500.0,139973.84375,14586483.0
2020-10-22,163500.0,178000.0,163000.0,170000.0,146434.1875,11124520.0
2020-10-29,169000.0,175000.0,164500.0,175000.0,150741.078125,6509606.0
2020-11-05,176500.0,179000.0,169500.0,174000.0,149879.6875,11656443.0
2020-11-12,174000.0,185500.0,173500.0,180000.0,155047.921875,12196402.0
2020-11-19,179000.0,184000.0,175000.0,179000.0,154186.609375,7670203.0
2020-11-26,179000.0,196500.0,178000.0,196500.0,169260.6875,14607543.0
2020-12-03,198000.0,199000.0,186000.0,191500.0,164953.75,12918296.0
2020-12-10,193000.0,194500.0,186000.0,190500.0,164092.40625,6502382.0
2020-12-17,191000.0,191000.0,183000.0,187000.0,161077.59375,5795853.0
2020-12-24,187000.0,193500.0,187000.0,192000.0,165384.46875,5260015.0
2020-12-31,192000.0,213000.0,192000.0,206000.0,180298.078125,14001174.0
2021-01-07,240500.0,289000.0,225000.0,250500.0,219245.96875,51603153.0
2021-01-14,252000.0,277000.0,234000.0,264500.0,231499.234375,20178406.0
2021-01-21,261000.0,263000.0,236500.0,238500.0,208743.15625,10059463.0
2021-01-28,242000.0,253000.0,224500.0,248500.0,217495.484375,10872687.0
2021-02-04,249500.0,250500.0,228500.0,245000.0,214432.171875,7378196.0
2021-02-11,245000.0,251000.0,235500.0,235500.0,206117.453125,4226614.0
2021-02-18,236500.0,249000.0,235000.0,245000.0,214432.171875,7591044.0
2021-02-25,238500.0,249000.0,232500.0,235000.0,205679.84375,7405567.0
2021-03-04,230500.0,237500.0,227000.0,228500.0,199990.828125,5316824.0
2021-03-11,231500.0,238000.0,229000.0,234000.0,204804.609375,3859188.0
2021-03-18,230000.0,232000.0,216000.0,218000.0,190800.875,4956995.0
2021-03-25,219500.0,224500.0,211000.0,219000.0,191676.09375,5101442.0
2021-04-01,225500.0,238500.0,225000.0,231500.0,202616.53125,7000615.0
2021-04-08,231500.0,237000.0,225500.0,230500.0,201741.296875,3516144.0
2021-04-15,231500.0,233500.0,224000.0,226000.0,197802.765625,3889876.0
2021-04-22,225500.0,225500.0,217000.0,217500.0,190363.25,4369101.0
2021-04-29,216000.0,225000.0,211000.0,223500.0,195614.65625,3956501.0
2021-05-06,223500.0,233000.0,221000.0,229500.0,200866.078125,5852587.0
2021-05-13,234000.0,236000.0,224000.0,224500.0,196489.90625,4457508.0
2021-05-20,227000.0,233000.0,220000.0,220500.0,192988.96875,6276518.0
2021-05-27,223500.0,243000.0,223000.0,238500.0,208743.15625,7295478.0
2021-06-03,241500.0,247500.0,236000.0,236000.0,206555.0625,5588429.0
2021-06-10,237500.0,243000.0,235000.0,236500.0,206992.6875,3223491.0
2021-06-17,237000.0,249000.0,232000.0,242500.0,212244.09375,5496204.0
2021-06-24,243500.0,244500.0,236000.0,242000.0,211806.484375,3425698.0
2021-07-01,243500.0,243500.0,229000.0,229500.0,201703.015625,4552338.0
2021-07-08,227500.0,232500.0,225000.0,231500.0,203460.765625,3314406.0
2021-07-15,230000.0,232000.0,225000.0,228500.0,200824.125,2959759.0
2021-07-22,229000.0,229000.0,221000.0,222000.0,195111.40625,4415782.0
2021-07-29,222000.0,225000.0,217000.0,223000.0,195990.28125,3374551.0
2021-08-05,224500.0,225000.0,218000.0,219000.0,192474.75,2817275.0
2021-08-12,221500.0,221500.0,205000.0,206500.0,181488.765625,3580639.0
2021-08-19,207000.0,212500.0,200000.0,210000.0,184564.828125,3798965.0
2021-08-26,209000.0,218500.0,205000.0,211500.0,185883.1875,3201504.0
2021-09-02,213000.0,216000.0,208000.0,208500.0,183246.53125,2937007.0
2021-09-09,208500.0,211500.0,204000.0,208000.0,182807.09375,2879127.0
2021-09-16,208000.0,210000.0,204500.0,208500.0,183246.53125,1223418.0
2021-09-23,209500.0,210500.0,197500.0,200000.0,175776.03125,3247584.0
2021-09-30,198000.0,203000.0,189000.0,201000.0,176654.90625,4219036.0
2021-10-07,203500.0,212000.0,202000.0,209000.0,183685.96875,3846416.0
2021-10-14,210500.0,212000.0,205000.0,207500.0,182367.640625,2814399.0
2021-10-21,207000.0,215000.0,206000.0,210000.0,184564.828125,3035733.0
2021-10-28,211500.0,216000.0,206500.0,214000.0,188080.359375,3078962.0
2021-11-04,216500.0,217000.0,203500.0,205000.0,180170.453125,3229536.0
2021-11-11,205000.0,210000.0,203000.0,205000.0,180170.453125,2585765.0
2021-11-18,211500.0,220000.0,207500.0,210000.0,184564.828125,4334846.0
2021-11-25,209500.0,210000.0,194500.0,205500.0,180609.875,4640922.0
2021-12-02,205500.0,211000.0,202500.0,207000.0,181928.203125,2797753.0
2021-12-09,207000.0,214000.0,205500.0,209500.0,184125.390625,2714415.0
2021-12-16,208500.0,211500.0,204000.0,209000.0,183685.96875,2568375.0
2021-12-23,210500.0,217000.0,208500.0,209000.0,183685.96875,3675560.0
2021-12-30,209000.0,217500.0,208500.0,214000.0,191662.84375,3010582.0
2022-01-06,214500.0,216500.0,209000.0,210000.0,188080.34375,2773893.0
2022-01-13,209500.0,211000.0,199500.0,202000.0,180915.40625,2688336.0
2022-01-20,199500.0,201000.0,185500.0,186500.0,167033.28125,3419737.0
2022-01-27,186500.0,195500.0,186500.0,191500.0,171511.375,837241.0
2022-02-03,190500.0,192000.0,182500.0,185500.0,166137.640625,2947581.0
2022-02-10,183000.0,186000.0,176000.0,183500.0,164346.40625,4673099.0
2022-02-17,181000.0,184000.0,171000.0,173000.0,154942.390625,2148616.0
2022-02-24,175000.0,179000.0,169500.0,177500.0,158972.671875,3578234.0
2022-03-03,177500.0,177500.0,163500.0,168000.0,150464.296875,2167723.0
2022-03-10,168000.0,168000.0,163000.0,164500.0,147329.609375,1112790.0
2022-03-17,171500.0,177500.0,169000.0,176000.0,157629.25,3611021.0
2022-03-24,176500.0,183000.0,171000.0,180500.0,161659.5625,3227126.0
2022-03-31,178000.0,182000.0,174500.0,178500.0,159868.3125,2826125.0
2022-04-07,178000.0,182000.0,175500.0,177500.0,158972.671875,3123291.0
2022-04-14,176500.0,184500.0,175500.0,183000.0,163898.59375,2930398.0
2022-04-21,181500.0,191000.0,176500.0,188500.0,168824.515625,6528114.0
2022-04-28,187000.0,188000.0,182000.0,184000.0,164794.21875,2273619.0
2022-05-05,181500.0,184500.0,176000.0,180500.0,161659.5625,3070020.0
2022-05-12,182000.0,189500.0,181000.0,182000.0,163002.984375,3086142.0
2022-05-19,183500.0,189000.0,182000.0,184000.0,164794.21875,2247695.0
2022-05-26,186500.0,189500.0,184500.0,187500.0,167928.90625,2007926.0
2022-06-02,188500.0,189000.0,180500.0,182500.0,163450.78125,2234380.0
2022-06-09,181500.0,185000.0,169000.0,173000.0,154942.390625,4501644.0
2022-06-16,168000.0,175000.0,168000.0,171000.0,153151.15625,3276527.0
2022-06-23,170500.0,189000.0,170500.0,180500.0,161659.5625,7037822.0
2022-06-30,181500.0,185000.0,172000.0,175000.0,157580.859375,4480511.0
2022-07-07,177500.0,185000.0,177000.0,182500.0,164334.296875,3746457.0
2022-07-14,183000.0,193500.0,178500.0,189000.0,170187.296875,5459801.0
2022-07-21,191000.0,198500.0,188000.0,195000.0,175590.0625,4832253.0
2022-07-28,196000.0,198500.0,193500.0,196500.0,176940.78125,3472712.0
2022-08-04,196000.0,197500.0,191000.0,193000.0,173789.15625,3759373.0
2022-08-11,193500.0,199500.0,184000.0,186000.0,167485.921875,3981910.0
2022-08-18,187000.0,193000.0,185500.0,192000.0,172888.703125,3277692.0
2022-08-25,192500.0,197500.0,186500.0,195500.0,176040.296875,3514426.0
2022-09-01,199000.0,203500.0,196000.0,200000.0,180092.390625,4499340.0
2022-09-08,200000.0,201500.0,196000.0,198000.0,178291.46875,1983896.0
2022-09-15,199500.0,202500.0,192500.0,193500.0,174239.40625,3460427.0
2022-09-22,194000.0,195500.0,177500.0,181500.0,163433.84375,5059223.0
2022-09-29,181000.0,184000.0,172000.0,178000.0,160282.21875,3592086.0
