Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,39400.0,39400.0,38550.0,38750.0,33623.359375,7847664
2019-01-03,38300.0,38550.0,37450.0,37600.0,32625.501953125,12471493
2019-01-04,37450.0,37600.0,36850.0,37450.0,32495.349609375,14108958
2019-01-07,38000.0,38900.0,37800.0,38750.0,33623.359375,12748997
2019-01-08,38000.0,39200.0,37950.0,38100.0,33059.3515625,12756554
2019-01-09,38650.0,39600.0,38300.0,39600.0,34360.890625,17452708
2019-01-10,40000.0,40150.0,39600.0,39800.0,34534.4453125,14731699
2019-01-11,40350.0,40550.0,39950.0,40500.0,35141.828125,11661063
2019-01-14,40450.0,40700.0,39850.0,40050.0,34751.36328125,11984996
2019-01-15,40050.0,41100.0,39850.0,41100.0,35662.44140625,11492756
2019-01-16,41150.0,41450.0,40700.0,41450.0,35966.140625,8491595
2019-01-17,41700.0,42100.0,41450.0,41950.0,36399.9921875,11736903
2019-01-18,42000.0,42400.0,41950.0,42300.0,36703.6953125,11029256
2019-01-21,42700.0,42750.0,41900.0,42750.0,37094.16015625,11355701
2019-01-22,42750.0,42850.0,41850.0,42150.0,36573.53515625,9964356
2019-01-23,41350.0,42250.0,41350.0,42000.0,36443.3828125,11071079
2019-01-24,43050.0,43100.0,42350.0,43050.0,37354.45703125,14747623
2019-01-25,44300.0,44750.0,43750.0,44750.0,38829.546875,22789395
2019-01-28,45000.0,45500.0,44600.0,45050.0,39089.859375,17998914
2019-01-29,45050.0,45500.0,44350.0,45500.0,39480.328125,16215017
2019-01-30,44800.0,46400.0,44800.0,46400.0,40261.25,17505980
2019-01-31,46650.0,47050.0,46150.0,46150.0,40044.3359375,21621145
2019-02-01,46650.0,46950.0,46250.0,46350.0,40217.87890625,13832454
2019-02-07,46800.0,47100.0,46200.0,46200.0,40087.72265625,15872001
2019-02-08,45700.0,45700.0,44650.0,44800.0,38872.9375,12689196
2019-02-11,44500.0,45000.0,44250.0,45000.0,39046.48046875,11125044
2019-02-12,44650.0,46250.0,44650.0,46050.0,39957.5546875,13184367
2019-02-13,46400.0,46700.0,46000.0,46200.0,40087.72265625,11299738
2019-02-14,46600.0,47500.0,46150.0,47500.0,41215.73046875,17259341
2019-02-15,46750.0,46850.0,45650.0,46050.0,39957.5546875,10554643
